"Tarih","PM10","SO2","NO2","O3"
"2020/3/24","10.02599","7.41111","27.31934",
"2020/3/24","9.025788","7.13822","26.20105",
"2020/3/24","17.75745","6.90487","26.5799",
"2020/3/24","22.85816","7.00512","35.42921",
"2020/3/24","10.36932","7.2742","32.40527",
"2020/3/24","6.113475","7.58246","33.20919",
"2020/3/24","7.943343","8.46741","30.57892",
"2020/3/24","10.91489","8.75977","33.06598",
"2020/3/24","7.113475","7.91055",,
"2020/3/24","3.114449","7.62658","27.79233",
"2020/3/24","30.1358","7.75529","26.04301",
"2020/3/24","32.94696","7.93497","28.16547",
"2020/3/24","34.94704","7.79397","29.96101",
"2020/3/24","25.29595","7.585","29.17593",
"2020/3/24","25","7.68119","33.00435",
"2020/3/24","25","7.88636","28.67213",
"2020/3/24","26.94992","7.42617","22.39487",
"2020/3/23","28.9472","7.80794","26.09322",
"2020/3/23","29","7.5539","27.42889",
"2020/3/23","27.05634","7.33642","27.39865",
"2020/3/23","20.19207","7.2974","34.39651",
"2020/3/23","22.92275","6.83092","37.34343",
"2020/3/23","26.88652","7.0468","40.83523",
"2020/3/23","17.28329","6.7355","35.98094",
"2020/3/23","22.82979","7.05705","42.67242",
"2020/3/23","26.89205","6.98256","41.89019",
"2020/3/23","27","7.29303","43.98527",
"2020/3/23","25.05666","7.49413","43.10947",
"2020/3/23","28.88669","7.15401","44.42402",
"2020/3/23","19.28777","7.20587","47.74466",
"2020/3/23","19.97059","7.57544","49.46317",
"2020/3/23","18.05616","8.08356","39.98453",
"2020/3/23","18","7.39321","25.22997",
"2020/3/23","18.97187","7.60688",,
"2020/3/23","23.84424","7.61735","19.49474",
"2020/3/23","24","7.63966","13.55811",
"2020/3/23","26.91602","7.14104","12.51571",
"2020/3/23","33.81659","7.75962","14.41737",
"2020/3/23","34","7.30164","13.07428",
"2020/3/23","40.81135","7.33687","17.35002",
"2020/3/23","38.08108","7.34291","24.38725",
"2020/3/22","37.02845","7.12692","24.48482",
"2020/3/22","42.82954","6.91315","28.39255",
"2020/3/22","37.16973","6.28523","25.4987",
"2020/3/22","37","5.3418","24.50593",
"2020/3/22","41.8517","6.26443","31.44845",
"2020/3/22","37.14851","5.8519","30.35926",
"2020/3/22","41.85149","6.00203","33.56635",
